strain,stress
0.01909,0.16344
0.33824,0.552
0.61796,2.26165
0.90708,3.9713
1.08355,5.29239
1.34074,8.71169
1.50783,11.27616
1.73499,16.4051
1.9002,19.8244
2.08605,25.80817
2.08605,25.80817
2.25126,31.32567
2.42773,37.30945
2.56103,42.04983
2.74688,48.88843
2.88205,53.62882
3.08856,62.17706
3.22373,66.83974
3.38894,73.67834
3.52223,79.27355
3.6987,87.43324
3.83387,92.56218
4.00847,100.2556
4.12299,104.91828
4.29758,112.22314
4.42336,117.35209
4.60922,125.43406
4.72186,130.17445
4.88707,136.62449
5.02224,142.14199
5.14614,147.73721
5.2907,154.10953
5.41461,159.23848
5.57981,165.68852
5.70372,170.81746
5.88019,177.18979
6.0041,181.93018
6.15992,187.05913
6.26317,193.50916
6.43776,200.34776
6.64427,205.86526
6.77006,202.05741
6.89396,193.0429
6.95591,185.81575
7.05917,174.62532
