load,strain
1.6,1.5
1.5,1.51
1.5,1.51
1.4,1.51
1.5,1.52
1.4,1.52
1.5,1.53
1.5,1.53
1.4,1.53
1.5,1.54
1.5,1.54
1.5,1.55
1.5,1.55
1.5,1.55
1.5,1.55
1.4,1.56
1.4,1.56
1.5,1.57
1.4,1.57
1.5,1.57
1.4,1.58
1.4,1.58
1.4,1.58
1.4,1.59
1.5,1.59
1.5,1.59
1.5,1.6
1.5,1.6
1.5,1.6
1.6,1.61
1.6,1.61
1.7,1.61
1.7,1.62
1.8,1.62
1.8,1.62
1.8,1.62
1.8,1.63
1.9,1.63
1.9,1.63
1.9,1.64
2,1.64
2,1.64
2.1,1.64
2.2,1.64
2.3,1.65
2.2,1.65
2.4,1.65
2.3,1.66
2.4,1.66
2.3,1.66
2.3,1.66
2.3,1.67
2.3,1.67
2.3,1.68
2.4,1.68
2.4,1.68
2.5,1.69
2.4,1.69
2.4,1.69
2.3,1.7
2.3,1.7
2.3,1.7
2.4,1.71
2.4,1.71
2.4,1.71
2.4,1.72
2.5,1.72
2.4,1.73
2.6,1.73
2.6,1.74
2.6,1.74
2.6,1.74
2.6,1.74
2.6,1.75
2.6,1.75
2.7,1.75
2.7,1.76
2.8,1.76
2.8,1.77
2.8,1.77
2.8,1.78
2.8,1.78
2.9,1.78
2.9,1.78
2.9,1.79
2.9,1.79
2.9,1.8
3,1.8
3,1.8
3,1.8
3.1,1.81
3.1,1.81
3.2,1.81
3.2,1.82
3.2,1.82
3.3,1.82
3.4,1.82
3.4,1.83
3.5,1.83
3.5,1.83
3.5,1.84
3.5,1.84
3.6,1.84
3.6,1.85
3.6,1.85
3.7,1.85
3.7,1.85
3.8,1.86
3.9,1.86
4,1.87
4,1.87
4,1.87
4.2,1.87
4.2,1.88
4.2,1.88
4.3,1.88
4.4,1.89
4.5,1.89
4.5,1.89
4.5,1.89
4.6,1.9
4.5,1.91
4.6,1.91
4.7,1.91
4.7,1.91
4.8,1.92
4.9,1.92
4.9,1.92
4.8,1.93
4.8,1.93
4.9,1.93
5,1.94
5.1,1.94
5.2,1.95
5.3,1.95
5.2,1.95
5.2,1.96
5.3,1.96
5.2,1.96
5.3,1.97
5.3,1.97
5.3,1.98
5.4,1.98
5.4,1.98
5.5,1.99
5.5,1.99
5.6,1.99
5.7,1.99
5.8,2
5.9,2
5.9,2.01
5.9,2.01
5.9,2.01
5.9,2.01
5.9,2.02
6,2.02
6,2.02
6.1,2.03
6.1,2.03
6.2,2.03
6.2,2.04
6.4,2.04
6.4,2.05
6.3,2.05
6.3,2.05
6.4,2.05
6.4,2.06
6.5,2.06
6.6,2.06
6.6,2.07
6.6,2.07
6.7,2.07
6.7,2.08
6.7,2.08
6.7,2.08
6.8,2.09
6.9,2.09
6.9,2.09
6.9,2.1
7,2.1
7,2.1
7.1,2.11
7.1,2.11
7.2,2.11
7.2,2.12
7.3,2.12
7.3,2.12
7.3,2.13
7.4,2.13
7.5,2.14
7.5,2.14
7.6,2.14
7.6,2.14
7.6,2.15
7.6,2.15
7.6,2.15
7.7,2.16
7.7,2.16
7.8,2.16
7.8,2.17
7.9,2.17
8,2.17
8.1,2.18
8.1,2.18
8.1,2.18
8.2,2.19
8.2,2.19
8.3,2.2
8.4,2.2
8.4,2.2
8.4,2.2
8.5,2.21
8.5,2.21
8.5,2.22
8.5,2.22
8.6,2.22
8.7,2.23
8.7,2.23
8.8,2.23
8.8,2.23
8.9,2.24
8.9,2.24
8.9,2.25
8.9,2.25
9,2.25
9,2.26
9.1,2.26
9.3,2.26
9.3,2.27
9.3,2.27
9.3,2.27
9.3,2.28
9.3,2.28
9.4,2.28
9.5,2.28
9.5,2.29
9.6,2.29
9.6,2.3
9.6,2.3
9.6,2.3
9.6,2.3
9.7,2.31
9.8,2.31
9.9,2.31
10,2.32
10.1,2.32
10.1,2.32
10.2,2.32
10.2,2.33
10.3,2.33
10.3,2.33
10.4,2.34
10.5,2.34
10.5,2.35
10.5,2.35
10.4,2.35
10.5,2.35
10.5,2.36
10.5,2.36
10.6,2.37
10.6,2.37
10.7,2.37
10.7,2.37
10.8,2.38
10.9,2.38
10.8,2.39
10.8,2.39
10.8,2.39
10.8,2.4
10.9,2.4
10.9,2.41
10.9,2.41
11,2.41
11,2.41
11.1,2.42
11.1,2.42
11.2,2.43
11.3,2.43
11.3,2.43
11.3,2.44
11.3,2.44
11.3,2.44
11.4,2.45
11.5,2.45
11.6,2.45
11.7,2.45
11.8,2.46
11.9,2.46
12.1,2.47
12.2,2.47
12.4,2.47
12.5,2.48
12.6,2.48
12.6,2.48
12.6,2.48
12.7,2.49
12.9,2.49
13,2.49
13.1,2.49
13.1,2.5
13.2,2.5
13.3,2.5
13.3,2.5
13.4,2.51
13.6,2.51
13.8,2.51
13.8,2.52
13.9,2.52
14,2.53
14.1,2.53
14.2,2.53
14.3,2.53
14.4,2.53
14.5,2.53
14.6,2.54
14.7,2.54
14.8,2.54
14.9,2.55
15,2.55
15.1,2.55
15.2,2.55
15.3,2.55
15.4,2.55
15.6,2.56
15.7,2.56
15.9,2.56
16,2.56
16,2.57
16.1,2.57
16.2,2.57
16.4,2.57
16.6,2.57
16.6,2.58
16.8,2.58
16.9,2.58
17.1,2.58
17.3,2.59
17.4,2.59
17.4,2.59
17.5,2.59
17.8,2.59
17.8,2.59
17.8,2.59
18,2.6
18.2,2.6
18.4,2.6
18.5,2.6
18.6,2.61
18.9,2.61
18.9,2.61
19.1,2.61
19.2,2.61
19.3,2.62
19.4,2.62
19.5,2.62
19.7,2.62
19.9,2.62
20,2.62
20.2,2.63
20.3,2.63
20.4,2.63
20.5,2.63
20.7,2.63
20.8,2.63
20.9,2.63
21,2.64
21.1,2.64
21.3,2.64
21.4,2.64
21.6,2.65
21.9,2.65
22,2.65
22.2,2.65
22.3,2.66
22.5,2.66
22.5,2.66
22.7,2.66
22.9,2.66
22.9,2.66
23.2,2.67
23.3,2.67
23.5,2.67
23.5,2.67
23.7,2.68
23.9,2.68
24.1,2.68
24.2,2.68
24.5,2.68
24.6,2.69
24.8,2.69
24.9,2.69
25,2.69
25.1,2.7
25.1,2.7
25.3,2.7
25.5,2.7
25.8,2.71
25.9,2.71
26.1,2.71
26.3,2.71
26.3,2.72
26.6,2.72
26.7,2.72
26.8,2.72
26.9,2.72
27.2,2.73
27.4,2.73
27.5,2.73
27.6,2.74
27.9,2.74
28.1,2.74
28.2,2.75
28.4,2.75
28.5,2.75
28.8,2.75
28.8,2.75
29.1,2.76
29.1,2.76
29.4,2.76
29.5,2.77
29.7,2.77
29.8,2.77
30,2.77
30.2,2.77
30.4,2.78
30.6,2.78
30.8,2.78
30.9,2.79
31.2,2.79
31.5,2.79
31.5,2.79
31.7,2.8
31.9,2.8
32,2.8
32.2,2.8
32.5,2.81
32.6,2.81
32.7,2.81
32.8,2.82
33.1,2.82
33.2,2.82
33.4,2.82
33.6,2.82
33.8,2.82
33.9,2.83
34.1,2.83
34.3,2.83
34.6,2.84
34.8,2.84
35,2.84
35.2,2.84
35.4,2.84
35.4,2.85
35.7,2.85
35.8,2.85
36,2.85
36.1,2.86
36.4,2.86
36.5,2.86
36.6,2.86
36.9,2.86
37,2.87
37.1,2.87
37.3,2.87
37.5,2.87
37.7,2.88
37.7,2.88
38,2.88
38.2,2.88
38.4,2.88
38.6,2.89
38.7,2.89
38.9,2.89
39,2.89
39.1,2.9
39.3,2.9
39.4,2.9
39.6,2.9
39.8,2.9
39.9,2.91
40.1,2.91
40.3,2.91
40.4,2.91
40.6,2.92
40.8,2.92
40.9,2.92
41.1,2.92
41.3,2.93
41.5,2.93
41.6,2.93
41.8,2.93
41.9,2.93
42,2.93
42.2,2.94
42.4,2.94
42.5,2.94
42.7,2.94
43,2.95
43,2.95
43.2,2.95
43.4,2.95
43.5,2.95
43.7,2.95
43.9,2.96
43.9,2.96
44.2,2.96
44.4,2.96
44.5,2.97
44.6,2.97
44.8,2.97
45,2.97
45.1,2.97
45.3,2.97
45.5,2.97
45.5,2.98
45.7,2.98
45.8,2.98
45.9,2.98
46,2.99
46.2,2.99
46.3,2.99
46.5,2.99
46.7,2.99
46.8,2.99
47,2.99
47.1,2.99
47.3,3
47.4,3
47.7,3
47.8,3
47.9,3.01
48.1,3.01
48.2,3.01
48.3,3.01
48.4,3.02
48.5,3.02
48.6,3.02
48.8,3.02
49,3.02
49.1,3.02
49.2,3.02
49.4,3.02
49.6,3.03
49.6,3.03
49.8,3.03
49.9,3.03
50.1,3.04
50.2,3.04
50.4,3.04
50.4,3.04
50.5,3.04
50.7,3.04
50.8,3.04
51,3.05
51.1,3.05
51.2,3.05
51.4,3.05
51.6,3.05
51.7,3.06
51.8,3.06
52,3.06
52,3.06
52.1,3.06
52.3,3.07
52.4,3.07
52.4,3.07
52.6,3.07
52.7,3.07
52.8,3.07
53,3.08
53.1,3.08
53.2,3.08
53.3,3.08
53.7,3.08
53.7,3.09
53.9,3.09
54,3.09
54,3.09
54.2,3.09
54.3,3.09
54.6,3.09
54.6,3.1
54.7,3.1
54.9,3.1
54.9,3.1
55.1,3.1
55.2,3.11
55.4,3.11
55.5,3.11
55.5,3.11
55.6,3.11
55.7,3.11
55.8,3.12
55.9,3.12
56,3.12
56.2,3.12
56.2,3.12
56.4,3.13
56.5,3.13
56.5,3.13
56.7,3.13
56.8,3.13
56.9,3.13
57,3.13
57.1,3.14
57.2,3.14
57.3,3.14
57.4,3.14
57.5,3.15
57.6,3.15
57.7,3.15
57.8,3.15
57.8,3.15
58,3.15
58.1,3.16
58.2,3.16
58.3,3.16
58.4,3.16
58.6,3.16
58.6,3.17
58.7,3.17
58.9,3.17
59,3.17
59.1,3.17
59.2,3.17
59.3,3.17
59.3,3.18
59.4,3.18
59.5,3.18
59.5,3.18
59.6,3.19
59.7,3.19
59.8,3.19
59.9,3.19
60,3.19
60,3.2
60.2,3.2
60.3,3.2
60.3,3.2
60.4,3.2
60.4,3.2
60.5,3.2
60.7,3.21
60.7,3.21
60.8,3.21
60.9,3.21
61,3.22
61,3.22
61.1,3.22
61.2,3.22
61.3,3.22
61.4,3.22
61.5,3.22
61.6,3.23
61.7,3.23
61.8,3.23
62,3.23
62.1,3.24
62.2,3.24
62.3,3.24
62.4,3.24
62.5,3.24
62.5,3.24
62.5,3.24
62.6,3.25
62.6,3.25
62.7,3.25
62.8,3.25
62.9,3.26
63,3.26
63,3.26
63.1,3.26
63.2,3.27
63.3,3.27
63.4,3.27
63.5,3.27
63.6,3.27
63.6,3.27
63.7,3.28
63.7,3.28
63.7,3.28
63.9,3.28
63.9,3.28
63.9,3.29
64.1,3.29
64.1,3.29
64.3,3.29
64.3,3.29
64.5,3.29
64.5,3.3
64.6,3.3
64.7,3.3
64.8,3.3
64.8,3.3
64.9,3.31
65,3.31
65.1,3.31
65.2,3.31
65.3,3.31
65.4,3.31
65.5,3.32
65.6,3.32
65.6,3.32
65.8,3.32
65.8,3.33
65.8,3.33
66,3.33
66,3.33
66.1,3.33
66.1,3.34
66.2,3.34
66.2,3.34
66.2,3.34
66.3,3.34
66.4,3.35
66.5,3.35
66.7,3.35
66.8,3.35
66.9,3.35
67,3.36
67,3.36
67.1,3.36
67.2,3.36
67.3,3.36
67.3,3.36
67.3,3.36
67.5,3.37
67.5,3.37
67.6,3.37
67.8,3.38
67.8,3.38
67.9,3.38
68,3.38
68.1,3.38
68.1,3.38
68.3,3.39
68.3,3.39
68.4,3.39
68.5,3.39
68.6,3.39
68.8,3.4
68.8,3.4
69,3.4
69,3.4
69,3.4
69.2,3.4
69.2,3.41
69.3,3.41
69.3,3.41
69.3,3.41
69.4,3.42
69.6,3.42
69.6,3.42
69.7,3.42
69.8,3.42
69.7,3.42
69.9,3.42
70,3.42
70,3.43
70.1,3.43
70.2,3.43
70.2,3.43
70.3,3.44
70.3,3.44
70.5,3.44
70.5,3.44
70.7,3.44
70.8,3.44
70.8,3.44
71,3.45
71,3.45
71,3.45
71.1,3.45
71.2,3.45
71.2,3.46
71.3,3.46
71.5,3.46
71.5,3.46
71.5,3.46
71.6,3.47
71.6,3.47
71.7,3.47
71.7,3.47
71.8,3.47
71.8,3.47
71.8,3.47
72,3.48
72.1,3.48
72.1,3.48
72.3,3.48
72.3,3.48
72.4,3.49
72.5,3.49
72.5,3.49
72.6,3.49
72.6,3.49
72.7,3.49
72.8,3.49
72.8,3.5
72.9,3.5
72.9,3.5
73.1,3.5
73.2,3.5
73.2,3.51
73.3,3.51
73.4,3.51
73.5,3.51
73.5,3.52
73.6,3.52
73.6,3.52
73.6,3.52
73.7,3.52
73.8,3.52
73.9,3.52
74,3.52
74.2,3.53
74.2,3.53
74.2,3.53
74.2,3.53
74.3,3.53
74.4,3.54
74.5,3.54
74.5,3.54
74.6,3.54
74.6,3.54
74.7,3.54
74.8,3.54
74.9,3.54
75,3.55
75.1,3.55
75.1,3.55
75.2,3.55
75.2,3.55
75.3,3.56
75.3,3.56
75.4,3.56
75.5,3.56
75.6,3.56
75.7,3.56
75.8,3.56
75.9,3.56
76,3.57
76,3.57
76.1,3.57
76.1,3.57
76.2,3.57
76.3,3.58
76.4,3.58
76.5,3.58
76.5,3.58
76.6,3.58
76.6,3.58
76.7,3.58
76.8,3.58
76.8,3.59
76.9,3.59
77,3.59
77,3.59
77.1,3.59
77.2,3.6
77.2,3.6
77.4,3.6
77.5,3.6
77.5,3.6
77.7,3.61
77.8,3.61
77.8,3.61
77.9,3.61
78,3.61
78,3.61
78.2,3.61
78.2,3.61
78.3,3.62
78.3,3.62
78.4,3.62
78.5,3.62
78.6,3.62
78.7,3.62
78.7,3.63
78.8,3.63
78.9,3.63
79,3.63
79.1,3.63
79.2,3.63
79.2,3.63
79.3,3.63
79.3,3.63
79.4,3.64
79.5,3.64
79.6,3.64
79.7,3.64
79.8,3.64
79.9,3.64
79.9,3.65
79.9,3.65
80,3.65
80.1,3.65
80.2,3.65
80.2,3.65
80.3,3.65
80.4,3.65
80.5,3.66
80.6,3.66
80.6,3.66
80.7,3.66
80.8,3.66
80.9,3.66
80.9,3.67
81,3.67
81.1,3.67
81.1,3.67
81.2,3.67
81.3,3.67
81.3,3.67
81.4,3.67
81.4,3.67
81.5,3.68
81.5,3.68
81.6,3.68
81.8,3.68
81.9,3.68
82,3.69
82,3.69
82,3.69
82.1,3.69
82.1,3.69
82.3,3.69
82.3,3.69
82.3,3.69
82.4,3.69
82.4,3.69
82.5,3.7
82.5,3.7
82.7,3.7
82.7,3.7
82.8,3.7
82.8,3.7
82.9,3.71
83,3.71
83.1,3.71
83.1,3.71
83.2,3.71
83.2,3.71
83.3,3.71
83.3,3.71
83.4,3.71
83.5,3.72
83.5,3.72
83.6,3.72
83.7,3.72
83.7,3.72
83.8,3.72
83.8,3.72
83.9,3.73
83.9,3.73
84,3.73
84.1,3.73
84.1,3.73
84.3,3.74
84.3,3.74
84.4,3.74
84.5,3.74
84.5,3.74
84.6,3.74
84.6,3.74
84.6,3.74
84.6,3.74
84.7,3.74
84.8,3.75
84.8,3.75
85,3.75
85,3.75
85,3.75
85.1,3.75
85.2,3.76
85.2,3.76
85.3,3.76
85.4,3.76
85.4,3.76
85.5,3.76
85.5,3.76
85.5,3.76
85.5,3.76
85.6,3.77
85.6,3.77
85.7,3.77
85.8,3.77
85.8,3.77
85.9,3.77
86,3.78
86,3.78
86.1,3.78
86.2,3.78
86.2,3.78
86.2,3.78
86.3,3.79
86.3,3.79
86.3,3.79
86.5,3.79
86.6,3.79
86.7,3.79
86.7,3.79
86.8,3.79
86.8,3.79
86.8,3.79
86.8,3.8
86.9,3.8
86.9,3.8
87,3.8
87,3.8
87.2,3.81
87.2,3.81
87.3,3.81
87.3,3.81
87.3,3.81
87.3,3.81
87.3,3.81
87.4,3.81
87.4,3.81
87.5,3.81
87.6,3.81
87.7,3.82
87.7,3.82
87.7,3.82
