strain,load
5,1
5.004,1.1
5.008,1.1
5.012,1.1
5.017,1.2
5.021,1.1
5.025,1.1
5.033,1.1
5.033,1.1
5.037,1
5.041,1
5.049,1
5.049,1
5.053,1
5.057,1.1
5.062,1.1
5.066,1.1
5.07,1.1
5.078,1.1
5.078,1.1
5.086,1
5.086,1.1
5.094,1
5.098,1.1
5.102,1
5.107,1
5.107,1.1
5.115,1.1
5.119,1.1
5.123,1.2
5.127,1.1
5.131,1.2
5.135,1.2
5.139,1.2
5.143,1.2
5.147,1.2
5.156,1.2
5.156,1.2
5.164,1.2
5.168,1.2
5.172,1.2
5.176,1.2
5.18,1.2
5.184,1.2
5.188,1.3
5.192,1.2
5.197,1.2
5.201,1.2
5.205,1.2
5.209,1.1
5.213,1.2
5.217,1.2
5.221,1.1
5.225,1.1
5.229,1.1
5.233,1
5.238,1
5.242,1.1
5.246,1.2
5.25,1.1
5.254,1.2
5.258,1.2
5.262,1.1
5.266,1.1
5.27,1.1
5.274,1.1
5.278,1.1
5.283,1.1
5.287,1.2
5.291,1.2
5.295,1.2
5.299,1.1
5.307,1.2
5.311,1.1
5.315,1.1
5.319,1.1
5.323,1.2
5.328,1.2
5.332,1.3
5.336,1.3
5.34,1.2
5.344,1.2
5.348,1.2
5.352,1.2
5.356,1.2
5.36,1.2
5.364,1.2
5.368,1.2
5.377,1.2
5.377,1.1
5.381,1.1
5.385,1
5.393,1.1
5.393,1.1
5.397,1
5.401,1
5.409,1.1
5.413,1.2
5.418,1.2
5.422,1.3
5.426,1.3
5.434,1.3
5.434,1.2
5.442,1.2
5.446,1.2
5.45,1.1
5.454,1.2
5.458,1.2
5.467,1.2
5.467,1.2
5.475,1.2
5.479,1.2
5.483,1.2
5.487,1.1
5.491,1.2
5.495,1.2
5.503,1.3
5.508,1.4
5.512,1.3
5.512,1.3
5.516,1.3
5.524,1.3
5.528,1.3
5.532,1.3
5.532,1.4
5.54,1.2
5.544,1.2
5.548,1.3
5.548,1.3
5.557,1.3
5.561,1.3
5.561,1.3
5.569,1.3
5.573,1.3
5.577,1.3
5.581,1.3
5.585,1.3
5.589,1.3
5.593,1.4
5.598,1.4
5.602,1.3
5.606,1.4
5.61,1.4
5.614,1.4
5.618,1.4
5.622,1.4
5.626,1.4
5.63,1.4
5.634,1.4
5.643,1.3
5.647,1.2
5.651,1.3
5.651,1.2
5.659,1.3
5.663,1.3
5.667,1.3
5.671,1.4
5.675,1.4
5.679,1.4
5.679,1.4
5.688,1.4
5.688,1.4
5.696,1.3
5.696,1.3
5.7,1.2
5.704,1.2
5.708,1.3
5.712,1.2
5.716,1.3
5.72,1.3
5.724,1.3
5.729,1.3
5.733,1.3
5.737,1.3
5.741,1.2
5.745,1.2
5.749,1.2
5.757,1.3
5.761,1.3
5.761,1.3
5.769,1.3
5.774,1.3
5.778,1.3
5.782,1.3
5.786,1.3
5.79,1.4
5.794,1.3
5.798,1.4
5.802,1.3
5.806,1.3
5.81,1.3
5.814,1.4
5.819,1.4
5.827,1.4
5.827,1.3
5.831,1.4
5.835,1.4
5.843,1.4
5.843,1.3
5.847,1.3
5.851,1.4
5.855,1.4
5.859,1.3
5.864,1.3
5.868,1.3
5.872,1.3
5.876,1.3
5.88,1.4
5.884,1.4
5.888,1.4
5.892,1.3
5.896,1.3
5.9,1.3
5.904,1.3
5.909,1.3
5.913,1.4
5.917,1.3
5.921,1.4
5.925,1.3
5.929,1.4
5.929,1.5
5.933,1.5
5.937,1.7
5.941,1.7
5.941,1.7
5.945,1.8
5.949,1.9
5.949,1.9
5.954,1.9
5.954,2
5.958,2.1
5.962,2.1
5.966,2.2
5.97,2.2
5.974,2.3
5.974,2.3
5.978,2.2
5.982,2.2
5.986,2.2
5.99,2.2
5.994,2.3
5.999,2.3
6.003,2.3
6.007,2.2
6.011,2.2
6.015,2.1
6.019,2.2
6.023,2.1
6.027,2.2
6.031,2.2
6.039,2.1
6.039,2.2
6.048,2.2
6.052,2.1
6.056,2.3
6.06,2.3
6.064,2.4
6.068,2.3
6.072,2.3
6.08,2.4
6.085,2.3
6.089,2.3
6.093,2.3
6.097,2.3
6.101,2.3
6.105,2.3
6.109,2.4
6.113,2.4
6.117,2.4
6.121,2.3
6.125,2.3
6.13,2.3
6.134,2.3
6.138,2.3
6.142,2.3
6.146,2.3
6.15,2.5
6.154,2.5
6.158,2.5
6.162,2.5
6.166,2.5
6.17,2.4
6.175,2.4
6.179,2.4
6.183,2.4
6.187,2.4
6.191,2.4
6.195,2.4
6.199,2.4
6.203,2.4
6.207,2.4
6.215,2.4
6.215,2.4
6.224,2.4
6.228,2.4
6.232,2.4
6.236,2.3
6.24,2.3
6.244,2.4
6.248,2.3
6.252,2.3
6.256,2.3
6.26,2.3
6.265,2.3
6.269,2.3
6.273,2.3
6.277,2.3
6.281,2.4
6.285,2.4
6.289,2.3
6.293,2.4
6.297,2.3
6.301,2.3
6.305,2.4
6.31,2.4
6.314,2.4
6.318,2.4
6.322,2.4
6.322,2.4
6.33,2.4
6.334,2.4
6.334,2.4
6.342,2.4
6.346,2.4
6.35,2.4
6.355,2.4
6.359,2.3
6.363,2.3
6.367,2.3
6.371,2.3
6.375,2.3
6.379,2.4
6.383,2.4
6.387,2.4
6.391,2.5
6.395,2.5
6.4,2.4
6.404,2.4
6.408,2.4
6.416,2.3
6.416,2.3
6.42,2.3
6.424,2.4
6.428,2.4
6.432,2.4
6.436,2.4
6.44,2.4
6.445,2.5
6.449,2.6
6.449,2.6
6.453,2.6
6.457,2.6
6.461,2.5
6.465,2.5
6.465,2.6
6.469,2.6
6.473,2.6
6.477,2.6
6.481,2.6
6.485,2.7
6.49,2.7
6.494,2.7
6.498,2.8
6.502,2.8
6.506,2.8
6.51,2.8
6.514,2.8
6.518,2.8
6.518,2.8
6.522,3
6.526,2.9
6.531,3
6.535,3
6.539,3
6.543,3.1
6.543,3.1
6.551,3.2
6.551,3.2
6.555,3.3
6.559,3.3
6.563,3.3
6.563,3.4
6.567,3.3
6.571,3.4
6.576,3.4
6.58,3.5
6.58,3.5
6.584,3.6
6.588,3.6
6.588,3.7
6.592,3.6
6.596,3.7
6.6,3.7
6.6,3.8
6.604,3.8
6.608,3.9
6.612,3.8
6.616,3.8
6.621,3.9
6.621,3.9
6.629,4
6.629,4
6.633,4
6.637,4
6.641,4
6.645,4.1
6.649,4.2
6.653,4.2
6.657,4.4
6.661,4.4
6.661,4.5
6.666,4.5
6.67,4.5
6.674,4.5
6.678,4.6
6.682,4.6
6.686,4.6
6.69,4.6
6.694,4.7
6.694,4.7
6.698,4.8
6.702,4.9
6.706,4.9
6.706,5
6.715,4.9
6.715,4.9
6.719,5
6.723,4.9
6.727,5
6.731,5.1
6.735,5.1
6.735,5.2
6.739,5.4
6.743,5.5
6.747,5.5
6.751,5.5
6.756,5.6
6.76,5.6
6.764,5.6
6.768,5.7
6.772,5.7
6.776,5.8
6.78,5.8
6.784,5.8
6.788,5.9
6.792,5.9
6.792,6
6.796,6.1
6.801,6.1
6.805,6.2
6.809,6.3
6.813,6.3
6.817,6.3
6.821,6.3
6.825,6.4
6.825,6.5
6.829,6.5
6.833,6.6
6.837,6.6
6.841,6.7
6.846,6.7
6.85,6.7
6.854,6.8
