load,strain
1.2,5.491
1.2,5.495
1.3,5.503
1.4,5.508
1.3,5.512
1.3,5.512
1.3,5.516
1.3,5.524
1.3,5.528
1.3,5.532
1.4,5.532
1.2,5.54
1.2,5.544
1.3,5.548
1.3,5.548
1.3,5.557
1.3,5.561
1.3,5.561
1.3,5.569
1.3,5.573
1.3,5.577
1.3,5.581
1.3,5.585
1.3,5.589
1.4,5.593
1.4,5.598
1.3,5.602
1.4,5.606
1.4,5.61
1.4,5.614
1.4,5.618
1.4,5.622
1.4,5.626
1.4,5.63
1.4,5.634
1.3,5.643
1.2,5.647
1.3,5.651
1.2,5.651
1.3,5.659
1.3,5.663
1.3,5.667
1.4,5.671
1.4,5.675
1.4,5.679
1.4,5.679
1.4,5.688
1.4,5.688
1.3,5.696
1.3,5.696
1.2,5.7
1.2,5.704
1.3,5.708
1.2,5.712
1.3,5.716
1.3,5.72
1.3,5.724
1.3,5.729
1.3,5.733
1.3,5.737
1.2,5.741
1.2,5.745
1.2,5.749
1.3,5.757
1.3,5.761
1.3,5.761
1.3,5.769
1.3,5.774
1.3,5.778
1.3,5.782
1.3,5.786
1.4,5.79
1.3,5.794
1.4,5.798
1.3,5.802
1.3,5.806
1.3,5.81
1.4,5.814
1.4,5.819
1.4,5.827
1.3,5.827
1.4,5.831
1.4,5.835
1.4,5.843
1.3,5.843
1.3,5.847
1.4,5.851
1.4,5.855
1.3,5.859
1.3,5.864
1.3,5.868
1.3,5.872
1.3,5.876
1.4,5.88
1.4,5.884
1.4,5.888
1.3,5.892
1.3,5.896
1.3,5.9
1.3,5.904
1.3,5.909
1.4,5.913
1.3,5.917
1.4,5.921
1.3,5.925
1.4,5.929
1.5,5.929
1.5,5.933
1.7,5.937
1.7,5.941
1.7,5.941
1.8,5.945
1.9,5.949
1.9,5.949
1.9,5.954
2,5.954
2.1,5.958
2.1,5.962
2.2,5.966
2.2,5.97
2.3,5.974
2.3,5.974
2.2,5.978
2.2,5.982
2.2,5.986
2.2,5.99
2.3,5.994
2.3,5.999
2.3,6.003
2.2,6.007
2.2,6.011
2.1,6.015
2.2,6.019
2.1,6.023
2.2,6.027
2.2,6.031
2.1,6.039
2.2,6.039
2.2,6.048
2.1,6.052
2.3,6.056
2.3,6.06
2.4,6.064
2.3,6.068
2.3,6.072
2.4,6.08
2.3,6.085
2.3,6.089
2.3,6.093
2.3,6.097
2.3,6.101
2.3,6.105
2.4,6.109
2.4,6.113
2.4,6.117
2.3,6.121
2.3,6.125
2.3,6.13
2.3,6.134
2.3,6.138
2.3,6.142
2.3,6.146
2.5,6.15
2.5,6.154
2.5,6.158
2.5,6.162
2.5,6.166
2.4,6.17
2.4,6.175
2.4,6.179
2.4,6.183
2.4,6.187
2.4,6.191
2.4,6.195
2.4,6.199
2.4,6.203
2.4,6.207
2.4,6.215
2.4,6.215
2.4,6.224
2.4,6.228
2.4,6.232
2.3,6.236
2.3,6.24
2.4,6.244
2.3,6.248
2.3,6.252
2.3,6.256
2.3,6.26
2.3,6.265
2.3,6.269
2.3,6.273
2.3,6.277
2.4,6.281
2.4,6.285
2.3,6.289
2.4,6.293
2.3,6.297
2.3,6.301
2.4,6.305
2.4,6.31
2.4,6.314
2.4,6.318
2.4,6.322
2.4,6.322
2.4,6.33
2.4,6.334
2.4,6.334
2.4,6.342
2.4,6.346
2.4,6.35
2.4,6.355
2.3,6.359
2.3,6.363
2.3,6.367
2.3,6.371
2.3,6.375
2.4,6.379
2.4,6.383
2.4,6.387
2.5,6.391
2.5,6.395
2.4,6.4
2.4,6.404
2.4,6.408
2.3,6.416
2.3,6.416
2.3,6.42
2.4,6.424
2.4,6.428
2.4,6.432
2.4,6.436
2.4,6.44
2.5,6.445
2.6,6.449
2.6,6.449
2.6,6.453
2.6,6.457
2.5,6.461
2.5,6.465
2.6,6.465
2.6,6.469
2.6,6.473
2.6,6.477
2.6,6.481
2.7,6.485
2.7,6.49
2.7,6.494
2.8,6.498
2.8,6.502
2.8,6.506
2.8,6.51
2.8,6.514
2.8,6.518
2.8,6.518
3,6.522
2.9,6.526
3,6.531
3,6.535
3,6.539
3.1,6.543
3.1,6.543
3.2,6.551
3.2,6.551
3.3,6.555
3.3,6.559
3.3,6.563
3.4,6.563
3.3,6.567
3.4,6.571
3.4,6.576
3.5,6.58
3.5,6.58
3.6,6.584
3.6,6.588
3.7,6.588
3.6,6.592
3.7,6.596
3.7,6.6
3.8,6.6
3.8,6.604
3.9,6.608
3.8,6.612
3.8,6.616
3.9,6.621
3.9,6.621
4,6.629
4,6.629
4,6.633
4,6.637
4,6.641
4.1,6.645
4.2,6.649
4.2,6.653
4.4,6.657
4.4,6.661
4.5,6.661
4.5,6.666
4.5,6.67
4.5,6.674
4.6,6.678
4.6,6.682
4.6,6.686
4.6,6.69
4.7,6.694
4.7,6.694
4.8,6.698
4.9,6.702
4.9,6.706
5,6.706
4.9,6.715
4.9,6.715
5,6.719
4.9,6.723
5,6.727
5.1,6.731
5.1,6.735
5.2,6.735
5.4,6.739
5.5,6.743
5.5,6.747
5.5,6.751
5.6,6.756
5.6,6.76
5.6,6.764
5.7,6.768
5.7,6.772
5.8,6.776
5.8,6.78
5.8,6.784
5.9,6.788
5.9,6.792
6,6.792
6.1,6.796
6.1,6.801
6.2,6.805
6.3,6.809
6.3,6.813
6.3,6.817
6.3,6.821
6.4,6.825
6.5,6.825
6.5,6.829
6.6,6.833
6.6,6.837
6.7,6.841
6.7,6.846
6.7,6.85
6.8,6.854
6.9,6.854
6.9,6.858
7,6.862
7,6.866
7,6.87
7,6.87
7.1,6.874
7.2,6.878
7.2,6.882
7.2,6.886
7.2,6.891
7.3,6.895
7.3,6.899
7.4,6.899
7.4,6.907
7.5,6.907
7.5,6.911
7.5,6.915
7.7,6.919
7.7,6.923
7.8,6.927
8,6.932
7.9,6.936
7.9,6.94
8,6.94
8,6.944
8.1,6.948
8.2,6.952
8.3,6.956
8.3,6.96
8.3,6.964
8.4,6.968
8.4,6.972
8.4,6.972
8.4,6.977
8.4,6.981
8.5,6.985
8.5,6.989
8.6,6.993
8.7,6.997
8.8,7.001
9,7.005
9,7.009
9,7.013
9,7.017
9.1,7.017
9.2,7.022
9.2,7.026
9.4,7.03
9.5,7.034
9.5,7.038
9.6,7.042
9.7,7.046
9.8,7.05
9.9,7.05
10,7.054
10.1,7.058
10.2,7.062
