strain,youngs_modulus
0.002,
0.00202,0.0
0.00202,
0.00202,
0.00202,
0.00204,0.0
0.00204,
0.00204,
0.00206,0.0
0.00206,
0.00206,
0.00208,2.0000000000000386e-09
0.0021000000000000003,0.0
0.0021000000000000003,
0.0021000000000000003,
0.0021000000000000003,
0.00212,0.0
0.00212,
0.0021400000000000004,0.0
0.0021400000000000004,
0.00216,0.0
0.00216,
0.00216,
0.00218,1.999999999999994e-09
0.00218,
0.00218,
0.00222,0.0
0.00222,
0.00222,
0.00222,
0.0022400000000000002,0.0
0.0022400000000000002,
0.00226,0.0
0.00226,
0.00226,
0.00226,
0.0023,0.0
0.0023,
0.00232,0.0
0.00232,
0.00232,
0.00232,
0.00232,
0.0023399999999999996,0.0
0.0023399999999999996,
0.0023399999999999996,
0.0023399999999999996,
0.0023399999999999996,
0.0023399999999999996,
0.0023399999999999996,
0.0023399999999999996,
0.00236,-1.999999999999953e-09
0.0024000000000000002,0.0
0.0024000000000000002,
0.00242,0.0
0.00244,1.9999999999999964e-09
0.00244,
0.00246,-1.9999999999999964e-09
0.00246,
0.00246,
0.00248,0.0
0.00248,
0.0025,0.0
0.00252,1.9999999999999964e-09
0.00258,0.0
0.00258,
0.00258,
0.0026000000000000003,1.999999999999948e-09
0.00264,0.0
0.00264,
0.00264,
0.00264,
0.00268,0.0
0.0027,0.0
0.0027,
0.0027,
0.0027,
0.0027,
0.0027,
0.00272,1.9999999999999964e-09
0.00272,
0.00272,
0.00272,
0.0027400000000000002,3.999999999999988e-09
0.00276,0.0
0.00278,0.0
0.00278,
0.00278,
0.0028399999999999996,6.666666666666719e-10
0.0028399999999999996,
0.0028399999999999996,
0.00286,0.0
0.00286,
0.00286,
0.00294,5.000000000000018e-10
0.00294,
0.00298,9.999999999999982e-10
0.003,0.0
0.00302,1.999999999999986e-09
0.00302,
0.0030600000000000002,9.999999999999982e-10
0.0030600000000000002,
0.0031,1.000000000000009e-09
0.0031,
0.0031200000000000004,1.999999999999953e-09
